"year","month","time_period","name","ID_number","mean_monthly_discharge_cfs"
2023,9,"2023-2024","FBR_Asheville","03451500",560.1015625
2023,10,"2023-2024","FBR_Asheville","03451500",493.224798387097
2023,11,"2023-2024","FBR_Asheville","03451500",521.880050236407
2023,12,"2023-2024","FBR_Asheville","03451500",1761.22043010753
2024,1,"2023-2024","FBR_Asheville","03451500",4202.24126344086
2024,2,"2023-2024","FBR_Asheville","03451500",2057.52514367816
2024,3,"2023-2024","FBR_Asheville","03451500",2890.44652442297
2024,9,"2024-2025","FBR_Asheville","03451500",47525.2905701754
2024,10,"2024-2025","FBR_Asheville","03451500",2282.19758064516
2024,11,"2024-2025","FBR_Asheville","03451500",1277.88736111111
2024,12,"2024-2025","FBR_Asheville","03451500",2263.68953039141
2025,1,"2024-2025","FBR_Asheville","03451500",1830.78702080411
2025,2,"2024-2025","FBR_Asheville","03451500",2652.3085631299
2025,3,"2024-2025","FBR_Asheville","03451500",1723.15150295223
