"year","month","time_period","name","ID_number","mean_monthly_discharge_cfs"
2023,9,"2023-2024","Swannanoa_Biltmore","03451000",37.8020833333333
2023,10,"2023-2024","Swannanoa_Biltmore","03451000",33.4949260752688
2023,11,"2023-2024","Swannanoa_Biltmore","03451000",40.5600319444444
2023,12,"2023-2024","Swannanoa_Biltmore","03451000",100.895362903226
2024,1,"2023-2024","Swannanoa_Biltmore","03451000",291.89601445712
2024,2,"2023-2024","Swannanoa_Biltmore","03451000",162.288433908046
2024,3,"2023-2024","Swannanoa_Biltmore","03451000",269.912372517445
2024,9,"2024-2025","Swannanoa_Biltmore","03451000",8423.12673611111
2024,10,"2024-2025","Swannanoa_Biltmore","03451000",317.090277777778
2024,11,"2024-2025","Swannanoa_Biltmore","03451000",95.7007427168022
2024,12,"2024-2025","Swannanoa_Biltmore","03451000",167.944623655914
2025,1,"2024-2025","Swannanoa_Biltmore","03451000",132.738575268817
2025,2,"2024-2025","Swannanoa_Biltmore","03451000",349.300483630952
2025,3,"2024-2025","Swannanoa_Biltmore","03451000",125.417139694042
