"year","month","time_period","name","ID_number","mean_monthly_discharge_cfs"
2023,9,"2023-2024","Bee_Tree_Creek_Swannanoa","03450000",1.47973958333333
2023,10,"2023-2024","Bee_Tree_Creek_Swannanoa","03450000",1.45038978494624
2023,11,"2023-2024","Bee_Tree_Creek_Swannanoa","03450000",1.59615277777778
2023,12,"2023-2024","Bee_Tree_Creek_Swannanoa","03450000",9.04206989247312
2024,1,"2023-2024","Bee_Tree_Creek_Swannanoa","03450000",19.2308965764665
2024,2,"2023-2024","Bee_Tree_Creek_Swannanoa","03450000",12.2313326149425
2024,3,"2023-2024","Bee_Tree_Creek_Swannanoa","03450000",17.9901945786366
2024,9,"2024-2025","Bee_Tree_Creek_Swannanoa","03450000",466.133333333333
2024,10,"2024-2025","Bee_Tree_Creek_Swannanoa","03450000",8.21470139582163
2024,11,"2024-2025","Bee_Tree_Creek_Swannanoa","03450000",5.49565277777778
2024,12,"2024-2025","Bee_Tree_Creek_Swannanoa","03450000",6.41269489247312
2025,1,"2024-2025","Bee_Tree_Creek_Swannanoa","03450000",5.23566634715758
2025,2,"2024-2025","Bee_Tree_Creek_Swannanoa","03450000",15.7324702380952
2025,3,"2024-2025","Bee_Tree_Creek_Swannanoa","03450000",9.53258719695259
