"year","month","time_period","name","ID_number","mean_monthly_discharge_cfs"
2023,9,"2023-2024","FBR_Fletcher","03447687",422.21875
2023,10,"2023-2024","FBR_Fletcher","03447687",365.485887096774
2023,11,"2023-2024","FBR_Fletcher","03447687",395.576930555556
2023,12,"2023-2024","FBR_Fletcher","03447687",1552.53125
2024,1,"2023-2024","FBR_Fletcher","03447687",3559.83333333333
2024,2,"2023-2024","FBR_Fletcher","03447687",1733.82183908046
2024,3,"2023-2024","FBR_Fletcher","03447687",2402.38878824477
2024,9,"2024-2025","FBR_Fletcher","03447687",32630.234375
2024,10,"2024-2025","FBR_Fletcher","03447687",1856.67674731183
2024,11,"2024-2025","FBR_Fletcher","03447687",1085.23895833333
2024,12,"2024-2025","FBR_Fletcher","03447687",1883.57627688172
2025,1,"2024-2025","FBR_Fletcher","03447687",1513.31653225806
2025,2,"2024-2025","FBR_Fletcher","03447687",1969.10714285714
2025,3,"2024-2025","FBR_Fletcher","03447687",1400.96098362856
